"LineNumber","Line","Path"
"21","      anim.progress = anim.progress + (elapsed / anim.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Animations.lua"
"43","        relativeProgress = 1 - ((region.expirationTime - time) / region.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Animations.lua"
"322","      local expirationTime = now + duration - elapsed -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"542","              remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"544","            if triggerUseRemaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"589","              local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"603","                    local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"646","                local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1261","              remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1263","            if triggerUseRemaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1308","              local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1355","                local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1687","            remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
